no;investment;income;consumption;qtr;linvestment;dlinvestment;lincome;dlincome;lconsumption;dlconsumption
75;675;2121;1831;1978q3;6.5147128;0.025507927;7.6596432;0.024339199;7.5126176;0.013194084
76;700;2132;1842;1978q4;6.5510802;0.036367416;7.6648159;0.00517273;7.5186071;0.005989552
77;692;2199;1890;1979q1;6.5395861;-0.01149416;7.6957579;0.030941963;7.544332;0.025724888
78;759;2253;1958;1979q2;6.6320019;0.09241581;7.7200179;0.024260044;7.579679;0.035346985
79;782;2276;1948;1979q3;6.6618547;0.029852867;7.730175;0.010157108;7.5745583;-0.005120754
80;816;2318;1994;1979q4;6.7044144;0.042559624;7.7484598;0.018284798;7.597898;0.023339748
81;844;2369;2061;1980q1;6.7381525;0.033738136;7.7702231;0.021763325;7.6309466;0.03304863
82;830;2423;2056;1980q2;6.7214255;-0.016726971;7.7927618;0.022538662;7.6285176;-0.002429009
83;853;2457;2102;1980q3;6.7487597;0.027334213;7.8066964;0.013934612;7.6506448;0.022127151
84;852;2470;2121;1980q4;6.7475867;-0.001173019;7.8119736;0.005277157;7.6596432;0.008998394
85;833;2521;2145;1981q1;6.7250338;-0.022552967;7.8324108;0.020437241;7.6708946;0.01125145
86;860;2545;2164;1981q2;6.7569323;0.031898499;7.841886;0.009475231;7.6797137;0.008819103
87;870;2580;2206;1981q3;6.7684932;0.011560917;7.8555446;0.013658524;7.698936;0.01922226
88;830;2620;2225;1981q4;6.7214255;-0.047067642;7.8709297;0.015385151;7.7075124;0.008576393
89;801;2639;2235;1982q1;6.6858611;-0.035564423;7.8781552;0.007225514;7.7119966;0.004484177
90;824;2618;2237;1982q2;6.7141705;0.028309345;7.8701658;-0.007989407;7.7128911;0.000894547
91;831;2628;2250;1982q3;6.72263;0.008459568;7.8739786;0.00381279;7.7186856;0.005794525
92;830;2651;2271;1982q4;6.7214255;-0.001204491;7.8826923;0.008713722;7.7279754;0.009289742
